,company,sector,industry,continent,country,market_value_2015,sales_2015,profits_2015,assets_2015,rank_2015,rank_2020,sales_2020,profits_2020,assets_2020,market_value_2020
176,China Hongqiao Group,Materials,Diversified Metals & Mining,Asia,China,3.9,4.8,0.9,10.8,1509,#978,$12.2 B,$880 M,$25.8 B,$4.3 B
177,Bank of Chongqing,Financials,Regional Banks,Asia,China,1.7,1.8,0.4,34.2,1516,#1290,$3.6 B,$567 M,$72 B,$1.7 B
178,China Merchants Securities,Financials,Investment Services,Asia,China,7.7,1.4,0.4,13.7,1565,#999,$3.5 B,$938 M,$54.8 B,$7.4 B
179,Hikvision,Information Technology,Electronics,Asia,China,11.4,1.5,0.4,2.0,1572,#736,$8.1 B,$1.8 B,$10.3 B,$42.5 B
180,Huatai Securities,Financials,Investment Services,Asia,China,6.9,1.1,0.3,16.5,1579,#698,$4.4 B,$1.3 B,$80.7 B,$15.1 B
181,China Communications Services,Telecommunication Services,Telecommunications services,Asia,China,3.1,11.1,0.4,8.0,1626,#1488,$17 B,$443 M,$12.6 B,$4.9 B
182,China Gezhouba,Industrials,Construction Services,Asia,China,2.9,9.1,0.3,14.0,1655,#871,$15.7 B,$788 M,$33.7 B,$4.3 B
183,BOE Technology Group,Information Technology,Electronics,Asia,China,4.8,5.4,0.4,14.8,1668,#817,$16.5 B,$207 M,$48.1 B,$12.3 B
184,Hainan Airlines,Industrials,Airline,Asia,China,3.6,4.8,0.3,17.1,1731,#1495,$10.4 B,$-533 M,$27.6 B,$4.1 B
185,Kaisa Group Holdings,Financials,Consumer Financial Services,Asia,China,1.8,3.2,0.5,14.5,1786,#1157,$6.9 B,$668 M,$38.9 B,$2.3 B
186,Hunan Valin Steel,Materials,Iron & Steel,Asia,China,0.9,9.7,0.0,11.7,1786,#1349,$14.5 B,$614 M,$12.2 B,$3.5 B
187,Yunnan Baiyao Group,Health Care,Pharmaceuticals,Asia,China,9.2,2.6,0.4,2.1,1807,#1344,$4.4 B,$663 M,$7.3 B,$16.4 B
188,Inner Mongolia Baotou Steel,Materials,Iron & Steel,Asia,China,5.2,6.1,0.0,14.9,1838,#1159,$10.1 B,$502 M,$20.1 B,$7 B
189,Financial Street Holdings,Financials,Real Estate,Asia,China,2.5,3.2,0.5,12.6,1880,#1970,$3.6 B,$434 M,$23.3 B,$2.9 B
190,Tongling Nonferrous Metals,Materials,Diversified Metals & Mining,Asia,China,2.1,12.4,0.1,7.4,1928,#1962,$13.4 B,$104 M,$6.9 B,$2.9 B
191,Wanhua Chemical Group,Materials,Specialized Chemicals,Asia,China,6.3,3.2,0.5,4.6,1937,#748,$9.6 B,$1.3 B,$15.2 B,$20 B
192,China Fortune Land Development,,,Asia,China,6.0,2.9,0.4,10.2,1957,#473,$15.1 B,$2.1 B,$67 B,$10.1 B
193,New Hope Liuhe,Consumer Staples,Food Processing,Asia,China,3.3,11.1,0.3,4.7,1964,#875,$11.9 B,$730 M,$9.2 B,$19.3 B
194,Ecopetrol,Energy,Oil & Gas Operations,South America,Colombia,83.6,37.7,7.0,68.5,128,#313,$22.1 B,$4 B,$41.3 B,$21.9 B
195,Grupo Aval,Financials,Investment Services,South America,Colombia,13.3,9.0,0.8,72.0,553,#711,$11.1 B,$924 M,$85 B,$6.3 B
196,Bancolombia,Financials,Regional Banks,South America,Colombia,13.3,5.9,0.8,67.7,644,#856,$7 B,$950 M,$71.9 B,$6.2 B
197,Banco Davivienda,Financials,Regional Banks,South America,Colombia,5.8,3.1,0.5,28.2,1363,#1644,$3.7 B,$448 M,$37.2 B,$3.3 B
198,CEZ Group,Utilities,Electric Utilities,Europe,Czech Republic,15.3,11.1,1.8,32.3,485,#903,$9.2 B,$530 M,$31.1 B,$10 B
199,Danske Bank,Financials,Major Banks,Europe,Denmark,28.3,20.8,1.3,596.0,231,#398,$16 B,$1.5 B,$589.3 B,$10.1 B
200,Novo Nordisk,Health Care,Pharmaceuticals,Europe,Denmark,119.6,14.9,4.5,13.0,399,#333,$18.3 B,$5.8 B,$18.9 B,$146.8 B
201,Carlsberg,Consumer Staples,Beverages,Europe,Denmark,15.2,11.8,1.0,27.9,565,#729,$9.9 B,$985 M,$18.5 B,$18.1 B
202,Coloplast,Health Care,Medical Equipment & Supplies,Europe,Denmark,17.3,2.1,0.5,1.6,1353,#1215,$2.7 B,$596 M,$2 B,$33.6 B
203,Jyske Bank,Financials,Regional Banks,Europe,Denmark,4.1,1.8,0.3,48.4,1517,#1580,$2.1 B,$342 M,$97.6 B,$2 B
204,Novozymes,Health Care,Biotechs,Europe,Denmark,13.8,2.1,0.4,3.0,1554,#1604,$2.2 B,$487 M,$3 B,$13.8 B
205,Vestas Wind Systems,Industrials,Electrical Equipment,Europe,Denmark,9.4,8.1,-0.1,7.8,1574,#750,$13.6 B,$788 M,$16.1 B,$16.8 B
206,Commercial International Bank,Financials,Regional Banks,Africa,Egypt,4.8,1.7,0.4,16.4,1750,#1456,$2.8 B,$702 M,$24.1 B,$6 B
207,Sampo,Financials,Diversified Insurance,Europe,Finland,29.7,8.7,1.9,44.3,408,#466,$12.7 B,$1.3 B,$58.1 B,$18.4 B
208,Fortum,Utilities,Electric Utilities,Europe,Finland,20.3,8.0,1.6,33.6,513,#755,$6.1 B,$1.7 B,$26.2 B,$14.7 B
209,Nokia,Information Technology,Communications Equipment,Europe,Finland,28.1,27.5,-0.8,34.7,631,#625,$25.8 B,$391 M,$43.6 B,$20.5 B
210,UPM-Kymmene,Materials,Paper & Paper Products,Europe,Finland,9.3,13.3,0.4,20.1,829,#774,$10.9 B,$1.1 B,$16.4 B,$14.8 B
211,Kone,Industrials,Construction Services,Europe,Finland,21.6,9.2,0.9,7.4,836,#765,$11.1 B,$1 B,$8.8 B,$31.4 B
212,Stora Enso,Materials,Paper & Paper Products,Europe,Finland,8.5,14.0,-0.1,17.6,1081,#926,$10.7 B,$889 M,$15.9 B,$9.3 B
213,Kesko,Consumer Staples,Food Retail,Europe,Finland,4.4,12.4,0.2,6.0,1924,#1637,$12.1 B,$372 M,$7.7 B,$6.5 B
214,BNP Paribas,Financials,Major Banks,Europe,France,98.6,123.2,6.4,2480.5,24,#42,$128 B,$8.7 B,"$2,429.9 B",$39.2 B
215,Total,Energy,Oil & Gas Operations,Europe,France,149.8,227.9,11.2,239.1,25,#29,$176.2 B,$11.3 B,$273.3 B,$93.1 B
216,AXA Group,Financials,Diversified Insurance,Europe,France,63.4,138.9,6.0,1018.9,33,#64,$150 B,$4 B,$850.8 B,$42.3 B
217,EDF,Utilities,Electric Utilities,Europe,France,75.8,100.4,4.5,353.9,50,#112,$79.8 B,$5.1 B,$340.4 B,$24.7 B
218,Sanofi,Health Care,Pharmaceuticals,Europe,France,137.1,43.7,4.9,132.4,87,#117,$40.4 B,$3.3 B,$126.5 B,$122.5 B
219,Credit Agricole,Financials,Major Banks,Europe,France,41.0,65.3,3.3,2117.7,89,#118,$74.3 B,$4.8 B,"$1,984.2 B",$21.9 B
220,VINCI,Industrials,Construction Services,Europe,France,44.2,54.1,2.6,86.9,147,#137,$54.6 B,$3.6 B,$102.3 B,$45.5 B
221,Schneider Electric,Industrials,Electrical Equipment,Europe,France,50.7,31.3,2.5,51.0,196,#227,$30.4 B,$2.7 B,$50.5 B,$50.4 B
222,Carrefour,Consumer Staples,Food Retail,Europe,France,27.4,99.4,1.7,60.0,212,#374,$83 B,$1.3 B,$57 B,$11.8 B
223,Danone,Consumer Staples,Food Processing,Europe,France,41.8,28.3,1.9,42.6,242,#248,$28.3 B,$2.1 B,$50.9 B,$45 B
224,Natixis,Financials,Major Banks,Europe,France,23.6,21.6,1.2,702.9,251,#362,$33.5 B,$2 B,$576 B,$7.5 B
225,Renault,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,28.7,54.3,0.8,103.3,262,#797,$62.2 B,$-158 M,$137.1 B,$5.8 B
226,CNP Assurances,Financials,Diversified Insurance,Europe,France,14.6,36.2,1.3,455.1,265,#393,$46.6 B,$1.5 B,$470.3 B,$7.1 B
227,Saint-Gobain,Materials,Construction Materials,Europe,France,34.5,55.5,0.8,63.0,277,#331,$47.7 B,$1.6 B,$56.1 B,$14.4 B
228,Air Liquide,Materials,Specialized Chemicals,Europe,France,42.1,20.2,2.2,34.6,293,#239,$24.5 B,$2.5 B,$49 B,$60 B
229,Safran,Industrials,Aerospace & Defense,Europe,France,29.0,19.5,1.4,33.0,351,#257,$28.1 B,$2.7 B,$48.1 B,$36.7 B
230,Michelin Group,Consumer Discretionary,Auto & Truck Parts,Europe,France,23.6,26.9,1.5,28.5,359,#381,$27 B,$1.9 B,$35.6 B,$17.4 B
231,Pernod Ricard,Consumer Staples,Beverages,Europe,France,30.6,10.9,1.6,38.3,398,#451,$10.6 B,$1.6 B,$36.8 B,$40 B
232,Alstom,Industrials,Conglomerates,Europe,France,9.1,26.6,1.0,41.2,493,#1414,$9.3 B,$373 M,$14.1 B,$9.2 B
233,Thales,Industrials,Aerospace & Defense,Europe,France,13.8,18.2,0.8,29.6,527,#487,$20.6 B,$1.3 B,$35 B,$16.1 B
234,Vivendi,Telecommunication Services,Telecommunications services,Europe,France,37.3,31.6,-1.3,67.8,548,#363,$17.8 B,$1.8 B,$41.9 B,$25.3 B
235,Publicis Groupe,Consumer Discretionary,Advertising,Europe,France,18.4,9.2,1.1,23.6,589,#769,$12.3 B,$941 M,$36.7 B,$7 B
236,Sodexo,Consumer Discretionary,Business & Personal Services,Europe,France,16.5,24.1,0.6,16.6,613,#673,$25.2 B,$756 M,$21.5 B,$11.6 B
237,Unibail-Rodamco,Financials,Real Estate,Europe,France,25.2,2.3,1.7,44.6,622,#1730,$499 M,$95 M,$15.7 B,$13.6 B
238,Bouygues,Industrials,Construction Services,Europe,France,13.4,44.3,-1.0,47.3,660,#445,$42.5 B,$1.3 B,$44.2 B,$11.7 B
239,Scor,Financials,Diversified Insurance,Europe,France,6.5,12.8,0.7,45.5,695,#950,$16.5 B,$472 M,$50.1 B,$5.2 B
240,Veolia Environnement,Utilities,Diversified Utilities,Europe,France,10.8,29.6,-0.2,49.9,719,#548,$30.4 B,$693 M,$46 B,$11.8 B
241,Kering,Consumer Discretionary,Apparel/Accessories,Europe,France,25.8,12.9,0.1,31.4,763,#322,$17.8 B,$2.4 B,$30.5 B,$63 B
242,Peugeot,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,6.6,71.8,-3.1,82.2,775,#264,$83.6 B,$3.6 B,$78.3 B,$12.8 B
243,Capgemini,Information Technology,Computer Services,Europe,France,11.8,13.4,0.6,14.0,798,#644,$15.8 B,$958 M,$20.4 B,$15.9 B
244,Valeo,Consumer Discretionary,Auto & Truck Parts,Europe,France,11.2,16.1,0.6,12.5,805,#1229,$21.8 B,$350 M,$21.2 B,$5.5 B
245,Eiffage,Industrials,Construction Services,Europe,France,6.7,18.9,0.3,37.7,847,#671,$20.9 B,$812 M,$36.9 B,$8 B
246,Financiere de l'Odet,Industrials,Conglomerates,Europe,France,6.0,13.1,0.6,19.6,916,#995,$27.8 B,$137 M,$63.8 B,$2.7 B
247,Finatis,Consumer Staples,Food Retail,Europe,France,0.6,65.5,0.1,56.6,923,#1024,$42.7 B,$-173 M,$42.8 B,$160 M
248,Dassault Aviation,Industrials,Aerospace & Defense,Europe,France,14.2,6.1,0.6,13.9,948,#1146,$8.3 B,$798 M,$17.3 B,$6.8 B
249,Wendel,Financials,Investment Services,Europe,France,7.7,8.5,0.4,18.7,1005,#1568,$9.6 B,$447 M,$16.4 B,$3.7 B
250,Legrand,Industrials,Electrical Equipment,Europe,France,16.5,5.9,0.7,9.1,1022,#943,$7.4 B,$934 M,$13.3 B,$18 B
251,Air France-KLM,Industrials,Airline,Europe,France,4.7,34.0,-2.4,35.0,1036,#1096,$30.4 B,$325 M,$34.5 B,$2.2 B
252,Rexel,Information Technology,Electronics,Europe,France,7.4,17.3,0.3,14.5,1100,#1802,$15.4 B,$229 M,$12.4 B,$2.8 B
253,ATOS,Information Technology,Computer Services,Europe,France,8.9,11.4,0.3,9.7,1198,#1007,$13 B,$525 M,$20.9 B,$7.7 B
254,Aeroports de Paris,Industrials,Other Transportation,Europe,France,12.6,3.7,0.4,13.3,1318,#1221,$5.3 B,$658 M,$18.9 B,$9.7 B
255,Iliad,Information Technology,Computer Services,Europe,France,16.5,5.0,0.4,6.6,1398,#939,$6 B,$1.9 B,$20.4 B,$8.7 B
256,Accor,Consumer Discretionary,Hotels & Motels,Europe,France,12.0,7.4,0.2,9.7,1418,#1713,$4.5 B,$519 M,$15.6 B,$7.5 B
257,Gecina,Financials,Real Estate,Europe,France,8.2,1.0,0.4,15.2,1424,#1004,$1.1 B,$1.7 B,$23 B,$9.6 B
258,Dassault Systemes,Information Technology,Software & Programming,Europe,France,14.8,2.7,0.5,5.8,1431,#1020,$4.5 B,$689 M,$15.6 B,$37.8 B
259,Arkema,Materials,Diversified Chemicals,Europe,France,7.2,8.1,0.2,7.5,1791,#1391,$9.8 B,$608 M,$12.3 B,$6.4 B
260,Volkswagen Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,119.0,261.5,12.0,446.9,19,#23,$275.2 B,$12 B,$538.9 B,$70.4 B
261,Allianz,Financials,Diversified Insurance,Europe,Germany,77.2,131.4,8.0,963.1,27,#25,$122.4 B,$8.9 B,"$1,183.5 B",$77.1 B
262,Daimler,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,102.9,156.6,9.1,232.2,31,#326,$189.2 B,$418 M,$326.6 B,$37 B
263,BMW Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,83.4,101.0,7.1,190.7,48,#75,$116.6 B,$5.5 B,$271.3 B,$38.9 B
264,Siemens,Industrials,Conglomerates,Europe,Germany,114.2,99.7,6.0,140.1,53,#62,$97.4 B,$5.9 B,$171 B,$75.4 B
265,BASF,Materials,Diversified Chemicals,Europe,Germany,102.3,98.2,6.4,88.7,72,#107,$66.5 B,$8.8 B,$101.3 B,$47 B
266,Munich Re,Financials,Diversified Insurance,Europe,Germany,38.9,88.0,4.4,343.1,92,#206,$36.1 B,$1.4 B,$317.2 B,$31.1 B
267,E.ON,Utilities,Electric Utilities,Europe,Germany,37.6,162.6,2.8,180.1,113,#218,$45.9 B,$1.8 B,$118 B,$26.1 B
268,Bayer,Materials,Diversified Chemicals,Europe,Germany,111.3,53.3,4.2,70.7,120,#102,$49.9 B,$4.8 B,$137.7 B,$64.7 B
269,Deutsche Telekom,Telecommunication Services,Telecommunications services,Europe,Germany,71.2,79.8,1.2,162.8,145,#69,$90.1 B,$4.3 B,$207.1 B,$69.2 B
270,Deutsche Post,Industrials,Air Courier,Europe,Germany,45.4,73.1,2.8,48.9,163,#185,$70.9 B,$2.9 B,$61 B,$36.7 B
271,Deutsche Bank,Financials,Major Banks,Europe,Germany,46.5,61.1,0.9,2220.4,167,#542,$37.7 B,$-6.1 B,"$1,636.2 B",$15.3 B
272,SAP,Information Technology,Software & Programming,Europe,Germany,97.1,22.3,4.4,37.3,207,#150,$31.1 B,$4.7 B,$69.1 B,$142.4 B
273,Continental,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,48.7,44.3,2.6,37.0,215,#646,$49.8 B,$-1.4 B,$49.4 B,$16.9 B
274,Linde,Materials,Diversified Chemicals,Europe,Germany,37.0,22.1,1.7,45.1,275,#178,$28.2 B,$2.3 B,$86.6 B,$96.6 B
275,Fresenius,Health Care,Medical Equipment & Supplies,Europe,Germany,27.8,27.0,1.3,45.1,303,#240,$39.6 B,$2.1 B,$75.2 B,$23.8 B
276,Henkel,Consumer Staples,Household/Personal Care,Europe,Germany,46.4,21.7,2.1,26.7,312,#305,$22.5 B,$2.3 B,$35.9 B,$38.5 B
277,Talanx,Financials,Diversified Insurance,Europe,Germany,9.2,36.7,1.0,174.0,389,#407,$43.6 B,$1 B,$193 B,$9 B
278,HeidelbergCement,Materials,Construction Materials,Europe,Germany,16.5,18.5,1.0,37.0,434,#678,$10.8 B,$983 M,$44.5 B,$9.4 B
279,RWE Group,Utilities,Electric Utilities,Europe,Germany,25.1,68.2,-3.6,111.8,505,#297,$14.7 B,$9.5 B,$79.4 B,$17.7 B
280,Adidas,Consumer Discretionary,Apparel/Accessories,Europe,Germany,22.8,19.2,1.0,16.0,522,#397,$25 B,$1.5 B,$22.8 B,$44.9 B
281,Evonik,,,Europe,Germany,18.3,17.1,0.7,21.9,552,#569,$14.7 B,$2.4 B,$26.2 B,$11.5 B
282,Commerzbank,Financials,Major Banks,Europe,Germany,21.7,21.6,0.1,803.0,556,#692,$14.5 B,$722 M,$520.4 B,$4.6 B
283,Porsche Automobil Holding,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,32.3,0.0,3.2,43.1,577,#675,$130 M,$4.9 B,$40.1 B,$15.4 B
284,Deutsche Lufthansa,Industrials,Airline,Europe,Germany,12.3,39.9,0.4,40.1,580,#631,$40.8 B,$1.4 B,$48.7 B,$4.3 B
285,ThyssenKrupp Group,Industrials,Conglomerates,Europe,Germany,15.5,51.6,-2.0,48.9,624,#1035,$44.7 B,$-741 M,$40.4 B,$4.1 B
286,Metro Group,Consumer Staples,Food Retail,Europe,Germany,13.4,81.0,-0.1,45.2,642,#1273,$29.8 B,$-405 M,$20.4 B,$3.2 B
287,Deutsche Boerse,Financials,Investment Services,Europe,Germany,15.5,3.0,0.6,260.9,718,#589,$3.7 B,$1.1 B,$154 B,$28.5 B
288,EnBW-Energie Baden,Utilities,Electric Utilities,Europe,Germany,9.7,27.3,0.1,49.8,770,#492,$22.3 B,$822 M,$52.4 B,$14.7 B
289,Beiersdorf,Consumer Staples,Household/Personal Care,Europe,Germany,24.7,8.2,0.7,8.0,895,#905,$8.6 B,$804 M,$11.4 B,$23.7 B
290,Brenntag,Materials,Specialized Chemicals,Europe,Germany,9.6,13.0,0.5,7.8,1095,#1272,$14.4 B,$522 M,$9.8 B,$7 B
291,TUI,Consumer Discretionary,Business & Personal Services,Europe,Germany,4.3,24.4,0.0,17.5,1252,#1094,$21.6 B,$506 M,$20.1 B,$2.4 B
292,Infineon Technologies,Information Technology,Semiconductors,Europe,Germany,13.7,5.3,0.5,8.1,1316,#763,$8.9 B,$925 M,$16.4 B,$23.1 B
293,Aareal Bank,Financials,Thrifts & Mortgage Finance,Europe,Germany,2.7,1.3,0.2,59.2,1653,#1896,$1.5 B,$162 M,$46.2 B,$978 M
294,BayWa,Consumer Discretionary,Specialty Stores,Europe,Germany,2.0,19.5,0.2,6.9,1695,#1769,$19.1 B,$41 M,$10 B,$1.1 B
295,Piraeus Bank,Financials,Regional Banks,Europe,Greece,13.9,5.5,3.4,126.8,502,#1718,$2.6 B,$301 M,$68.7 B,$582 M
296,Alpha Bank,Financials,Regional Banks,Europe,Greece,10.5,5.2,3.0,99.3,586,#1706,$3.2 B,$109 M,$71.2 B,$1.1 B
297,National Bank of Greece,Financials,Major Banks,Europe,Greece,13.4,5.0,1.1,152.9,607,#1702,$2.3 B,$-220 M,$72.1 B,$1.2 B
298,Bank of Greece,Financials,Major Banks,Europe,Greece,0.4,2.8,1.1,150.9,979,#1055,$1.3 B,$943 M,$122.5 B,$286 M
299,China Mobile,Telecommunication Services,Telecommunications services,Asia,Hong Kong,184.6,102.5,19.8,192.8,28,#28,$108.1 B,$15.5 B,$233.9 B,$164.9 B
300,CNOOC,Energy,Oil & Gas Operations,Asia,Hong Kong,67.2,43.0,10.6,102.7,108,#126,$33.6 B,$8.8 B,$108.8 B,$50.6 B
301,AIA Group,Financials,Life & Health Insurance,Asia,Hong Kong,58.0,20.7,2.8,145.2,164,#66,$40.9 B,$6.6 B,$280.3 B,$111.8 B
302,China Unicom,Telecommunication Services,Telecommunications services,Asia,Hong Kong,31.6,48.0,1.7,87.5,193,#286,$42.1 B,$1.6 B,$82 B,$19.8 B
303,Jardine Matheson,Industrials,Conglomerates,Asia,Hong Kong,43.4,39.5,1.6,63.8,208,#287,$40.9 B,$2.8 B,$97 B,$13.4 B
304,China Railway Group,Industrials,Construction Services,Asia,Hong Kong,10.0,85.9,1.5,102.3,320,#204,$122.9 B,$3.2 B,$151.6 B,$14.8 B
305,Sun Hung Kai Properties,Financials,Real Estate,Asia,Hong Kong,33.4,7.1,4.7,69.5,361,#270,$11.2 B,$5.1 B,$103.6 B,$39.8 B
306,CLP Holdings,Utilities,Electric Utilities,Asia,Hong Kong,19.2,13.5,0.8,27.3,530,#660,$10.9 B,$594 M,$28.4 B,$27 B
307,Swire Pacific,Industrials,Conglomerates,Asia,Hong Kong,17.7,6.6,1.7,45.0,531,#609,$10.9 B,$1.1 B,$56.6 B,$9.9 B
308,China Resources Land,Financials,Real Estate,Asia,Hong Kong,12.9,9.3,1.9,36.3,534,#210,$21.6 B,$4.1 B,$109.4 B,$29.3 B
309,Lenovo Group,Information Technology,Computer Hardware,Asia,Hong Kong,11.9,37.2,0.8,19.5,566,#681,$51.8 B,$741 M,$35 B,$6.5 B
310,China Resources Power,Utilities,Electric Utilities,Asia,Hong Kong,12.6,9.0,1.5,27.6,595,#1043,$8.6 B,$841 M,$27.7 B,$5.7 B
311,MTR,Industrials,Railroads,Asia,Hong Kong,21.7,5.0,1.7,27.8,632,#566,$7 B,$1.5 B,$37.1 B,$34.2 B
312,Country Garden Holdings,Financials,Real Estate,Asia,Hong Kong,8.0,10.2,1.4,34.1,633,#111,$70.1 B,$5.7 B,$273.8 B,$27.8 B
313,Henderson Land,Financials,Real Estate,Asia,Hong Kong,15.7,3.0,2.1,39.2,692,#639,$3.1 B,$2.2 B,$58.4 B,$19.8 B
314,New World Development,Financials,Real Estate,Asia,Hong Kong,8.8,6.4,1.1,45.7,704,#648,$7.6 B,$1 B,$76.2 B,$12 B
315,Galaxy Entertainment,Consumer Discretionary,Casinos & Gaming,Asia,Hong Kong,39.7,8.5,1.3,6.0,742,#974,$3.8 B,$1.7 B,$12.3 B,$28.2 B
316,Shimao Property Holdings,Financials,Real Estate,Asia,Hong Kong,7.6,6.8,1.2,29.0,788,#423,$16.2 B,$1.6 B,$67.7 B,$13.9 B
317,Bank of East Asia,Financials,Regional Banks,Asia,Hong Kong,9.1,4.1,0.9,97.2,817,#1454,$4.4 B,$329 M,$111 B,$6.2 B
318,Chow Tai Fook Jewellery,Consumer Discretionary,Apparel/Accessories,Asia,Hong Kong,15.8,9.0,0.9,6.9,893,#1399,$8.5 B,$533 M,$8.2 B,$8.5 B
319,Power Assets Holdings,Utilities,Electric Utilities,Asia,Hong Kong,18.7,1.3,1.4,13.6,904,#1254,$172 M,$910 M,$12 B,$14.3 B
320,Link REIT,Financials,Real Estate,Asia,Hong Kong,11.4,0.9,2.5,13.4,954,#742,$1.3 B,$2.3 B,$29.6 B,$18.5 B
321,Cathay Pacific Airways,Industrials,Airline,Asia,Hong Kong,7.4,13.0,0.3,22.1,972,#1348,$13.7 B,$216 M,$27.5 B,$4.7 B
322,Sun Art Retail Group,Consumer Discretionary,Specialty Stores,Asia,Hong Kong,11.9,14.0,0.5,8.2,1010,#1085,$13.8 B,$412 M,$10.2 B,$15.9 B
323,Hong Kong Exchanges,Financials,Investment Services,Asia,Hong Kong,17.9,1.0,0.6,11.1,1144,#688,$2.1 B,$1.2 B,$35.8 B,$41.1 B
324,Hang Lung Group,Financials,Real Estate,Asia,Hong Kong,6.8,1.3,0.6,25.7,1175,#1400,$1.2 B,$870 M,$27.4 B,$3.1 B
325,Beijing Enterprises,Utilities,Natural Gas Utilities,Asia,Hong Kong,11.4,4.9,0.5,12.5,1196,#1072,$8.7 B,$1 B,$23.8 B,$4.5 B
326,China Taiping Insurance,Financials,Diversified Insurance,Asia,Hong Kong,4.4,11.9,0.2,40.3,1197,#545,$31.8 B,$1.1 B,$116.3 B,$6.1 B
327,ZTE,Information Technology,Communications Equipment,Asia,Hong Kong,7.2,12.1,0.2,16.7,1220,#779,$13.1 B,$740 M,$20.3 B,$12 B
328,China Mengniu Dairy,Consumer Staples,Food Processing,Asia,Hong Kong,10.0,7.1,0.3,4.4,1564,#1026,$11.4 B,$595 M,$11.3 B,$14 B
329,Hopson Development Holdings,Financials,Real Estate,Asia,Hong Kong,2.1,2.0,0.5,17.4,1601,#1311,$2.4 B,$1.2 B,$26.2 B,$2.5 B
330,Brilliance China Automotive Holdings,,,Asia,Hong Kong,7.7,1.0,0.5,3.1,1680,#1950,$559 M,$979 M,$7.1 B,$4.7 B
331,Guangdong Investment,Utilities,Diversified Utilities,Asia,Hong Kong,6.3,1.0,0.6,5.3,1835,#1447,$2.1 B,$644 M,$9.8 B,$13.6 B
332,First Pacific,Financials,Investment Services,Asia,Hong Kong,4.4,6.2,0.2,15.6,1869,#1790,$8.1 B,$-254 M,$21.9 B,$901 M
333,MOL Hungarian Oil,Energy,Oil & Gas Operations,Europe,Hungary,5.6,24.2,0.1,21.5,1105,#1044,$18.1 B,$768 M,$17.4 B,$4 B
334,OTP Bank,Financials,Regional Banks,Europe,Hungary,5.3,6.2,0.3,48.2,1270,#841,$5.1 B,$1.4 B,$61.7 B,$8.3 B
335,Reliance Industries,Energy,Oil & Gas Operations,Asia,India,50.9,72.8,3.8,67.2,135,#58,$84.8 B,$6.2 B,$147.2 B,$123.8 B
336,State Bank of India,Financials,Regional Banks,Asia,India,23.6,37.1,3.3,376.8,155,#171,$51.1 B,$2 B,$559.9 B,$22.6 B
337,Oil & Natural Gas,Energy,Oil & Gas Operations,Asia,India,46.4,29.6,4.5,53.8,176,#269,$60.1 B,$4.4 B,$72.6 B,$13.4 B
338,ICICI Bank,Financials,Regional Banks,Asia,India,23.7,13.3,1.8,124.2,304,#255,$20.8 B,$1.3 B,$182.8 B,$32.8 B
339,Tata Motors,Consumer Discretionary,Auto & Truck Manufacturers,Asia,India,19.9,34.5,1.8,32.4,332,#1037,$40.5 B,$-150 M,$42.4 B,$4.5 B
340,Indian Oil,Energy,Oil & Gas Operations,Asia,India,11.1,74.6,0.8,43.7,416,#389,$69.9 B,$1.8 B,$47.1 B,$10.6 B
341,HDFC Bank,Financials,Regional Banks,Asia,India,29.6,7.9,1.3,75.0,421,#146,$20.7 B,$3.8 B,$209 B,$73.1 B
342,NTPC,Utilities,Electric Utilities,Asia,India,16.8,12.3,2.3,35.5,424,#497,$13.5 B,$1.8 B,$47.7 B,$12.6 B
343,Coal India,Materials,Diversified Metals & Mining,Asia,India,30.6,12.6,3.2,18.4,428,#612,$13.8 B,$2.6 B,$19.7 B,$12.3 B
344,Larsen & Toubro,Industrials,Construction Services,Asia,India,19.8,13.5,1.0,26.7,500,#443,$20.8 B,$1.4 B,$40.4 B,$16.8 B
345,HDFC,Financials,Consumer Financial Services,Asia,India,23.2,6.6,1.2,43.5,535,#279,$13.2 B,$2.3 B,$98.2 B,$44.2 B
346,Tata Consultancy Services,Information Technology,Computer Services,Asia,India,71.2,13.1,3.0,9.2,542,#375,$22.1 B,$4.6 B,$16 B,$100.7 B
347,Bharti Airtel,Telecommunication Services,Telecommunications services,Asia,India,21.1,14.3,0.4,29.2,625,#700,$12 B,$-3.8 B,$49.2 B,$37.4 B
348,Axis Bank,Financials,Regional Banks,Asia,India,11.5,6.3,1.0,62.7,630,#727,$11.3 B,$263 M,$122.7 B,$16.7 B
349,Infosys,Information Technology,Computer Services,Asia,India,31.7,8.1,1.7,8.7,726,#602,$12.8 B,$2.3 B,$12.3 B,$40.6 B
350,Punjab National Bank,Financials,Regional Banks,Asia,India,4.5,8.7,0.9,91.4,795,#1197,$8.9 B,$-476 M,$117.5 B,$2.9 B
351,Bank of Baroda,Financials,Regional Banks,Asia,India,5.2,7.5,0.9,102.9,801,#1063,$12.1 B,$-50 M,$159.3 B,$3 B
